"addr";"price";"name";"geo_lat";"geo_lon"
"Казань; Адмиралтейская ул.; 21";7700000.0;avito;55.798496;49.0515012
"Казань; Актайская ул.; 13";4750000.0;avito;55.7448444;49.1396328
"Казань; Актайская ул.; 7";5490000.0;avito;55.7458091;49.1397835
"Казань; Актайская ул.; 7";5850000.0;avito;55.7458091;49.1397835
"Казань; Актайская ул.; 7";7790000.0;avito;55.7458091;49.1397835
"Казань; Актайская ул.; 7";7500000.0;avito;55.7458091;49.1397835
"Казань; Актайская ул.; 7";7699000.0;avito;55.7458091;49.1397835
"Казань; Актайская ул.; 7А";1999000.0;avito;55.7456594;49.1406723
"Казань; Актайская ул.; 7А";2500000.0;avito;55.7456594;49.1406723
"Казань; Актайская ул.; 7А";2470000.0;avito;55.7456594;49.1406723
"Казань; Актайская ул.; 7А";2220000.0;avito;55.7456594;49.1406723
"Казань; Аметьевская магистраль; д. 18; корп. 3";15100000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";15800000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";14600000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";15300000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";14600000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";15300000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";14900000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";15300000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";10100000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";10200000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";10200000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";9900000.0;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 3";15200000;avito;55.76645;49.172575
"Казань; Аметьевская магистраль; д. 18; корп. 5";16450000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15000000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";18000000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";18500000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15100000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17200000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16450000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17800000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16200000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16450000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16450000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15850000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15450000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16750000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16250000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17450000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13950000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13850000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15350000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16020000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15250000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17500000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13850000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15250000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17700000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15700000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17700000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17800000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17500000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13815000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17800000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";14000000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16150000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";10500000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";10400000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";10400000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";9800000.0;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";8550000.0;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16000000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15900000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15350000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15700000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13800000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13499999;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13450000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15250000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13200000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";14900000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";12850000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";12800000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";12550000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";12350000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";12350000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17600000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16150000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17700000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16200000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17300000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15950000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15350000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15100000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13500000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13150000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15150000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13815000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13150000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16300000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";18300000;avito;55.7669252;49.1714767
